,Standard Industrial Classification (Revised 2007)   Section,Description,Year,Employment Sizeband 2,Number of enterprises,Total turnover,Approximate gross value added at basic prices (aGVA),"Total purchases  of goods, materials and services",Total employment costs,Total net capital expenditure 4,Total capital expenditure- acquisitions 4,Total capital expenditure - disposals 4,Total stocks and work in progress - value at end of year,Total stocks and work in progress - value at beginning of year,Total stocks and work in progress - increase during the year
0,Standard Industrial Classification (Revised 2007)   Section,Description,nan,nan,Number,£ million,£ million,£ million,£ million,£ million,£ million,£ million,£ million,£ million,£ million
290,E,"management, and remediation activities ",2011.0,Total,6414,31544,16145,15695,4426,6143,6295,152,913,786,127
291,E,"management, and remediation activities ",2012.0,1 to 9,5319,2635,1152,1487,358,168,184,16,59,56,3
292,E,"management, and remediation activities ",2012.0,10 to 49,1213,3642,1274,2365,591,253,278,26,94,85,9
293,E,"management, and remediation activities ",2012.0,50 to 249,225,4061,1363,2731,633,316,*,*,194,186,8
294,E,"management, and remediation activities ",2012.0,250 and over,51,21413,13098,8890,3154,5994,*,*,635,663,-28
295,E,"management, and remediation activities ",2012.0,Total,6808,31751,16887,15473,4736,6731,6873,142,983,991,-8
296,E,"management, and remediation activities ",2013.0,1 to 9,5559,2792,830,1949,429,150,181,31,51,55,-4
297,E,"management, and remediation activities ",2013.0,10 to 49,1216,3804,1116,2659,605,215,252,37,78,91,-13
298,E,"management, and remediation activities ",2013.0,50 to 249,231,4434,1470,2965,666,286,321,35,264,253,11
299,E,"management, and remediation activities ",2013.0,250 and over,60,22008,13175,9035,3316,6005,6128,123,524,639,-115
300,E,"management, and remediation activities ",2013.0,Total,7066,33038,16591,16608,5016,6656,6881,225,917,1038,-121
301,E,"management, and remediation activities ",2014.0,1 to 9,5463,2963,1440,1536,465,185,202,17,131,135,-4
302,E,"management, and remediation activities ",2014.0,10 to 49,1282,4334,1486,2897,680,306,336,30,147,139,8
303,E,"management, and remediation activities ",2014.0,50 to 249,239,4755,1674,3114,828,245,284,39,281,293,-11
304,E,"management, and remediation activities ",2014.0,250 and over,60,22450,15188,8933,3548,5971,6034,63,475,527,-52
305,E,"management, and remediation activities ",2014.0,Total,7044,34502,19789,16480,5521,6707,6856,148,1034,1094,-60
306,E,"management, and remediation activities ",2015.0,1 to 9,5587,3125,1467,1728,364,229,253,23,118,70,49
307,E,"management, and remediation activities ",2015.0,10 to 49,1293,3752,1616,2226,664,223,287,64,84,93,-9
308,E,"management, and remediation activities ",2015.0,50 to 249,267,4865,1979,2899,732,317,372,55,225,273,-48
309,E,"management, and remediation activities ",2015.0,250 and over,59,22081,14277,9319,3560,5363,5491,128,378,478,-100
310,E,"management, and remediation activities ",2015.0,Total,7206,33823,19339,16172,5321,6133,6403,270,806,914,-108
311,E,"management, and remediation activities ",2016.0,1 to 9,5747,3331,1458,1882,326,262,290,27,91,88,4
312,E,"management, and remediation activities ",2016.0,10 to 49,1323,4065,1526,2610,676,459,494,35,151,148,3
313,E,"management, and remediation activities ",2016.0,50 to 249,262,4349,1512,2882,770,355,405,50,172,163,9
314,E,"management, and remediation activities ",2016.0,250 and over,72,22932,14505,10395,4087,6123,6176,53,432,406,26
315,E,"management, and remediation activities ",2016.0,Total,7404,34677,19001,17769,5860,7199,7365,166,846,804,42
316,E,"management, and remediation activities ",2017.0,1 to 9,5900,3571,1271,2396,386,83,178,95,111,91,20
317,E,"management, and remediation activities ",2017.0,10 to 49,1363,4810,2080,2740,814,316,360,44,93,96,-3
318,E,"management, and remediation activities ",2017.0,50 to 249,278,5464,1766,3671,884,294,*,*,211,176,35
319,E,"management, and remediation activities ",2017.0,250 and over,74,24664,14484,11839,4220,6386,*,*,475,422,53
320,E,"management, and remediation activities ",2017.0,Total,7615,38509,19602,20646,6304,7079,7338,259,890,785,104
321,E,"management, and remediation activities ",2018.0,1 to 9,6037,3823,1289,2535,371,260,273,13,40,38,2
322,E,"management, and remediation activities ",2018.0,10 to 49,1391,5309,2077,3269,831,359,389,30,138,128,10
323,E,"management, and remediation activities ",2018.0,50 to 249,286,6470,2089,4332,944,273,324,51,194,221,-27
324,E,"management, and remediation activities ",2018.0,250 and over,74,25663,15037,12478,4512,6973,7019,46,509,483,26
325,E,"management, and remediation activities ",2018.0,Total,7788,41266,20491,22614,6658,7865,8005,140,881,871,10
326,E,"management, and remediation activities ",2019.0,1 to 9,6082,3796,1505,2352,568,273,323,50,91,87,3
327,E,"management, and remediation activities ",2019.0,10 to 49,1421,5443,2218,3218,835,378,474,96,203,218,-15
328,E,"management, and remediation activities ",2019.0,50 to 249,310,6252,2128,4126,1078,470,515,45,214,208,6
329,E,"management, and remediation activities ",2019.0,250 and over,76,26149,14881,13336,4838,7375,7418,44,566,531,35
330,E,"management, and remediation activities ",2019.0,Total,7889,41640,20731,23031,7320,8496,8730,234,1073,1045,29
331,F,Construction,2009.0,1 to 9,255346,52407,23820,27802,8364,2450,3691,1242,26606,27174,-568
332,F,Construction,2009.0,10 to 49,17895,36644,15778,20444,8060,508,944,436,7551,8013,-462
333,F,Construction,2009.0,50 to 249,2322,35091,11812,21932,6703,446,1010,564,9079,10370,-1292
334,F,Construction,2009.0,250 and over,365,61995,17475,43482,12761,-133,907,1040,6156,7189,-1033
335,F,Construction,2009.0,Total,275928,186137,68885,113660,35888,3271,6553,3282,49392,52747,-3355
336,F,Construction,2010.0,1 to 9,246863,55879,26053,28652,9188,1846,3456,1610,18836,19811,-975
337,F,Construction,2010.0,10 to 49,16006,37549,15171,21778,8155,818,1271,453,6679,7262,-583
338,F,Construction,2010.0,50 to 249,2089,33559,10130,22144,6547,579,1187,608,7040,8259,-1219
339,F,Construction,2010.0,250 and over,324,55107,16005,38937,11723,542,893,351,6147,6291,-144
340,F,Construction,2010.0,Total,265282,182093,67359,111511,35612,3785,6807,3022,38701,41622,-2921
341,F,Construction,2011.0,1 to 9,247617,60447,27256,32823,9601,1841,3548,1707,12275,12408,-133
342,F,Construction,2011.0,10 to 49,15356,39695,15326,23590,8360,1518,2988,1471,8292,8966,-673
343,F,Construction,2011.0,50 to 249,1930,33802,11320,22862,6378,2316,3241,925,6098,5791,308
344,F,Construction,2011.0,250 and over,312,55523,16247,39893,11122,927,1275,348,7143,6619,524
345,F,Construction,2011.0,Total,265215,189467,70150,119168,35460,6602,11052,4451,33809,33784,25
346,F,Construction,2012.0,1 to 9,239104,61045,28845,32244,7396,1596,3637,2041,18316,18089,227
347,F,Construction,2012.0,10 to 49,15829,38184,15980,21984,9177,-23,2227,2250,4206,4404,-198
348,F,Construction,2012.0,50 to 249,1857,33516,11294,22381,6267,-104,1798,1902,4594,4512,82
349,F,Construction,2012.0,250 and over,316,57668,17687,40220,11342,541,1639,1098,8355,8126,230
350,F,Construction,2012.0,Total,257106,190413,73807,116829,34182,2009,9300,7291,35471,35130,341
351,F,Construction,2013.0,1 to 9,244653,66202,31868,34060,8584,1082,4158,3076,15902,15898,4
352,F,Construction,2013.0,10 to 49,15723,39552,15638,24064,8060,664,1301,636,4086,3895,191
353,F,Construction,2013.0,50 to 249,1835,36425,12100,24605,6197,2220,3239,1019,5970,5750,220
354,F,Construction,2013.0,250 and over,301,56110,18002,38857,11690,731,1782,1052,8887,8164,724
355,F,Construction,2013.0,Total,262512,198288,77607,121587,34530,4696,10480,5783,34845,33707,1138
356,F,Construction,2014.0,1 to 9,252589,72058,33728,39384,9043,5957,8780,2823,14731,13550,1181
357,F,Construction,2014.0,10 to 49,15870,44252,17490,27148,9183,1511,2223,712,5968,5545,423
358,F,Construction,2014.0,50 to 249,1826,38376,13313,26019,7060,2518,3566,1047,6624,5785,838
359,F,Construction,2014.0,250 and over,315,63014,20056,44145,11859,984,2178,1194,10494,9291,1203
360,F,Construction,2014.0,Total,270600,217699,84587,136696,37146,10970,16747,5776,37817,34172,3645
361,F,Construction,2015.0,1 to 9,272402,76967,34549,42991,8878,5782,8582,2800,16119,15600,519
362,F,Construction,2015.0,10 to 49,16258,49987,19202,31629,8751,2093,2416,322,6065,5294,771
363,F,Construction,2015.0,50 to 249,1894,42848,15112,28820,7395,1681,1969,287,6705,5700,1005
364,F,Construction,2015.0,250 and over,320,69959,23674,48064,12889,1456,2454,998,13342,11532,1810
365,F,Construction,2015.0,Total,290874,239761,92537,151504,37914,11013,15420,4407,42230,38125,4105
366,F,Construction,2016.0,1 to 9,295951,75774,35209,39449,8170,8923,9659,736,9534,10916,-1382
367,F,Construction,2016.0,10 to 49,16615,54071,21852,33044,9337,1328,1777,449,6621,5905,716
368,F,Construction,2016.0,50 to 249,1990,46338,15979,30265,7376,865,1091,225,8384,8505,-121
369,F,Construction,2016.0,250 and over,331,75726,24570,52594,13928,594,2005,1410,12687,11399,1287
370,F,Construction,2016.0,Total,314887,251908,97609,155353,38811,11711,14531,2820,37226,36725,500
371,F,Construction,2017.0,1 to 9,311337,82110,37417,44488,9031,3842,4710,868,11956,12255,-300
372,F,Construction,2017.0,10 to 49,16886,55703,21726,34691,9405,1149,2130,981,5810,5275,535
373,F,Construction,2017.0,50 to 249,2064,49976,18048,32183,8198,1899,2257,358,7503,7261,241
374,F,Construction,2017.0,250 and over,333,81591,26638,56058,14535,995,1902,907,14604,13672,932
375,F,Construction,2017.0,Total,330620,269379,103828,167420,41169,7886,10999,3113,39873,38464,1409
376,F,Construction,2018.0,1 to 9,322165,102975,43106,60131,9323,4582,5774,1192,14286,14114,172
377,F,Construction,2018.0,10 to 49,17056,55690,20812,35531,9956,1478,1801,323,7320,6670,650
378,F,Construction,2018.0,50 to 249,2105,50865,16377,34877,8506,1732,2081,349,7579,7222,358
379,F,Construction,2018.0,250 and over,324,87637,28449,59471,15524,1055,1984,928,15065,14925,140
380,F,Construction,2018.0,Total,341650,297166,108744,190010,43309,8848,11640,2792,44250,42930,1320
381,F,Construction,2019.0,1 to 9,328936,107076,44987,63173,9592,2723,5021,2298,14541,13683,858
382,F,Construction,2019.0,10 to 49,17197,57991,20718,37463,10780,2635,3000,364,8542,8303,240
383,F,Construction,2019.0,50 to 249,2132,52284,16758,35468,8805,4038,4380,343,8589,8753,-164
384,F,Construction,2019.0,250 and over,333,91771,30978,61623,16111,1645,1828,183,15841,15262,579
385,F,Construction,2019.0,Total,348598,309123,113441,197727,45287,11040,14228,3188,47514,46002,1512
386,G,Wholesale and retail trade; repair of  ,2009.0,1 to 9,319094,132559,27788,105159,11003,1356,1804,448,13336,12662,674
387,G,motor vehicles and motorcycles ,2009.0,10 to 49,34027,179401,26154,146234,13560,1054,1493,439,13680,13755,-75
388,G,motor vehicles and motorcycles ,2009.0,50 to 249,4763,183176,20891,160067,12086,889,1398,510,13049,14022,-974
389,G,motor vehicles and motorcycles ,2009.0,250 and over,1111,647385,74482,557862,46319,7906,9786,1880,33545,35040,-1494
390,G,motor vehicles and motorcycles ,2009.0,Total,358995,1142521,149315,969322,82968,11205,14482,3277,73610,75479,-1869
391,G,motor vehicles and motorcycles ,2010.0,1 to 9,317437,139119,29418,109897,11400,1416,1894,478,12915,12215,700
392,G,motor vehicles and motorcycles ,2010.0,10 to 49,33794,204990,26846,175826,13565,837,1350,513,14639,13724,916
393,G,motor vehicles and motorcycles ,2010.0,50 to 249,4697,195152,22857,167926,11805,904,1333,429,14584,13036,1548
394,G,motor vehicles and motorcycles ,2010.0,250 and over,1089,685688,73897,601334,46849,6298,9945,3647,36367,33120,3247
395,G,motor vehicles and motorcycles ,2010.0,Total,357017,1224949,153019,1054983,83620,9454,14522,5067,78506,72095,6411
396,G,motor vehicles and motorcycles ,2011.0,1 to 9,319606,140362,29615,111343,11423,1549,1994,445,13971,13122,848
397,G,motor vehicles and motorcycles ,2011.0,10 to 49,34615,232775,28552,201294,14497,1196,1821,625,17104,16336,767
398,G,motor vehicles and motorcycles ,2011.0,50 to 249,4704,202975,19116,177225,12586,1023,1585,562,16221,14876,1345
399,G,motor vehicles and motorcycles ,2011.0,250 and over,1099,760822,73918,680733,48475,9564,11764,2200,39177,36235,2942
400,G,motor vehicles and motorcycles ,2011.0,Total,360024,1336934,151202,1170596,86982,13332,17164,3831,86473,80570,5903
401,G,motor vehicles and motorcycles ,2012.0,1 to 9,314840,131415,27992,103917,10791,1420,1879,460,13396,12463,932
402,G,motor vehicles and motorcycles ,2012.0,10 to 49,36866,240733,28714,210925,14499,2081,2489,408,15918,15523,395
403,G,motor vehicles and motorcycles ,2012.0,50 to 249,4809,227210,15414,197437,12810,957,1706,749,17955,17403,552
404,G,motor vehicles and motorcycles ,2012.0,250 and over,1083,770575,72373,689712,49540,9224,10973,1749,40063,38620,1443
405,G,motor vehicles and motorcycles ,2012.0,Total,357598,1369933,144492,1201991,87640,13682,17048,3366,87332,84009,3322
406,G,motor vehicles and motorcycles ,2013.0,1 to 9,317908,140785,29854,110888,11652,1266,1687,422,13581,12855,726
407,G,motor vehicles and motorcycles ,2013.0,10 to 49,37548,243643,29827,213598,15034,1529,2093,564,16681,15698,982
408,G,motor vehicles and motorcycles ,2013.0,50 to 249,4842,235442,27294,200047,13331,1164,1764,600,17899,17284,615
409,G,motor vehicles and motorcycles ,2013.0,250 and over,1088,874264,70392,788474,51628,10528,12021,1493,42010,41146,864
410,G,motor vehicles and motorcycles ,2013.0,Total,361386,1494134,157367,1313007,91646,14487,17566,3079,90172,86984,3188
411,G,motor vehicles and motorcycles ,2014.0,1 to 9,313185,174605,30361,144514,11459,3829,4448,619,15945,14763,1181
412,G,motor vehicles and motorcycles ,2014.0,10 to 49,39055,246688,32934,213858,15650,3104,3568,464,19205,18086,1118
413,G,motor vehicles and motorcycles ,2014.0,50 to 249,4908,208507,28244,172713,13721,2026,2341,315,18752,17708,1044
414,G,motor vehicles and motorcycles ,2014.0,250 and over,1092,705204,84826,607326,52452,10301,11964,1663,42919,41119,1800
415,G,motor vehicles and motorcycles ,2014.0,Total,358240,1335004,176366,1138410,93282,19261,22322,3062,96820,91677,5143
416,G,motor vehicles and motorcycles ,2015.0,1 to 9,316001,148119,30941,117148,11357,3715,4281,566,15427,14547,880
417,G,motor vehicles and motorcycles ,2015.0,10 to 49,38886,218341,32200,185385,16421,2859,3279,421,18454,18145,309
418,G,motor vehicles and motorcycles ,2015.0,50 to 249,5103,211259,28852,173573,14253,2186,2555,369,19926,19476,450
419,G,motor vehicles and motorcycles ,2015.0,250 and over,1121,625016,95335,518960,55414,10754,12225,1470,46496,42666,3830
420,G,motor vehicles and motorcycles ,2015.0,Total,361111,1202734,187328,995066,97445,19514,22340,2826,100303,94834,5469
421,G,motor vehicles and motorcycles ,2016.0,1 to 9,328109,194083,30079,165448,10131,3953,4280,327,16912,14931,1981
422,G,motor vehicles and motorcycles ,2016.0,10 to 49,39287,243977,33467,210535,16437,2869,3421,552,18380,17039,1340
423,G,motor vehicles and motorcycles ,2016.0,50 to 249,5124,249008,31450,204977,15321,2285,2764,480,*,*,*
424,G,motor vehicles and motorcycles ,2016.0,250 and over,1162,598685,93829,488716,57265,11983,13249,1265,*,*,*
425,G,motor vehicles and motorcycles ,2016.0,Total,373682,1285752,188825,1069675,99153,21090,23714,2624,104346,98004,6342
426,G,motor vehicles and motorcycles ,2017.0,1 to 9,340635,210147,27473,181974,10558,3051,3532,481,15505,15520,-15
427,G,motor vehicles and motorcycles ,2017.0,10 to 49,39527,286357,34140,252299,17750,2473,2990,517,19245,18031,1214
428,G,motor vehicles and motorcycles ,2017.0,50 to 249,5167,285435,33720,241252,15961,2453,2797,344,*,*,*
429,G,motor vehicles and motorcycles ,2017.0,250 and over,1177,658210,98276,545087,60235,12434,13932,1498,*,*,*
430,G,motor vehicles and motorcycles ,2017.0,Total,386506,1440148,193610,1220613,104504,20411,23251,2841,109999,103354,6645
431,G,motor vehicles and motorcycles ,2018.0,1 to 9,354666,228923,31918,196099,10436,3383,3887,504,15381,15064,317
432,G,motor vehicles and motorcycles ,2018.0,10 to 49,39055,292143,35453,256608,18148,2599,3056,458,20119,18578,1541
433,G,motor vehicles and motorcycles ,2018.0,50 to 249,5266,302508,34608,259706,16528,2328,2610,282,23439,21939,1500
434,G,motor vehicles and motorcycles ,2018.0,250 and over,1207,707698,101974,585864,61186,11358,12615,1257,54620,52447,2173
435,G,motor vehicles and motorcycles ,2018.0,Total,400194,1531273,203953,1298277,106298,19668,22168,2500,113558,108028,5530
436,G,motor vehicles and motorcycles ,2019.0,1 to 9,350907,217910,34398,184193,12822,3677,4212,535,19974,18375,1599
437,G,motor vehicles and motorcycles ,2019.0,10 to 49,38562,279287,35806,242473,18114,2764,3172,407,20868,20181,687
438,G,motor vehicles and motorcycles ,2019.0,50 to 249,5294,323643,38423,277537,17404,2985,3324,339,24855,24228,627
439,G,motor vehicles and motorcycles ,2019.0,250 and over,1232,722538,104457,595693,63981,11555,12828,1274,57566,55422,2144
440,G,motor vehicles and motorcycles ,2019.0,Total,395995,1543378,213085,1299896,112322,20981,23536,2555,123264,118207,5057
441,H ,Transport and Storage ,2009.0,1 to 9,59353,13776,5992,7831,2202,538,723,185,21,22,-1
442,H ,Transport and Storage ,2009.0,10 to 49,6853,14900,6320,8569,3047,535,805,270,30,38,-7
443,H ,Transport and Storage ,2009.0,50 to 249,1315,15900,6334,9610,3426,565,736,171,37,32,5
444,H ,Transport and Storage ,2009.0,250 and over,360,82525,38062,47081,26761,8426,9832,1406,503,427,76
445,H ,Transport and Storage ,2009.0,Total,67881,127100,56708,73093,35436,10065,12097,2032,592,519,72
446,H ,Transport and Storage ,2010.0,1 to 9,57688,14751,6569,8111,2101,602,817,215,37,55,-18
447,H ,Transport and Storage ,2010.0,10 to 49,6782,17318,7301,10033,3126,562,798,236,44,42,2
448,H ,Transport and Storage ,2010.0,50 to 249,1275,17679,6622,11158,3238,897,1081,184,38,35,3
449,H ,Transport and Storage ,2010.0,250 and over,357,85958,40461,47794,25924,10403,11553,1151,457,456,1
450,H ,Transport and Storage ,2010.0,Total,66102,135706,60953,77095,34390,12463,14250,1787,576,589,-12
451,H ,Transport and Storage ,2011.0,1 to 9,57932,14314,6216,8001,2104,613,802,189,54,97,-43
452,H ,Transport and Storage ,2011.0,10 to 49,6907,18277,7581,10760,3371,777,1012,235,50,45,5
453,H ,Transport and Storage ,2011.0,50 to 249,1291,18881,7131,11767,3545,974,1260,287,69,57,11
454,H ,Transport and Storage ,2011.0,250 and over,355,91358,40595,52262,26479,10789,11698,909,289,445,-156
455,H ,Transport and Storage ,2011.0,Total,66485,142830,61522,82791,35499,13153,14772,1619,462,645,-183
456,H ,Transport and Storage ,2012.0,1 to 9,57784,15173,6340,8860,1960,963,1228,266,65,56,9
457,H ,Transport and Storage ,2012.0,10 to 49,7236,19246,8554,10715,3511,827,1151,323,58,40,18
458,H ,Transport and Storage ,2012.0,50 to 249,1356,20596,7513,13126,3694,736,1088,352,105,101,4
459,H ,Transport and Storage ,2012.0,250 and over,354,97064,45079,53769,27688,10398,10888,491,357,366,-8
460,H ,Transport and Storage ,2012.0,Total,66730,152079,67486,86471,36852,12924,14355,1431,585,563,22
461,H ,Transport and Storage ,2013.0,1 to 9,61382,15625,6949,8658,2469,878,1083,205,93,66,28
462,H ,Transport and Storage ,2013.0,10 to 49,7396,20194,8727,11556,3694,661,927,266,73,66,6
463,H ,Transport and Storage ,2013.0,50 to 249,1371,21044,8425,12666,3919,1006,1216,210,68,58,10
464,H ,Transport and Storage ,2013.0,250 and over,366,100827,46169,56516,28358,10576,11284,708,433,444,-11
465,H ,Transport and Storage ,2013.0,Total,70515,157690,70270,89395,38440,13120,14511,1390,667,634,33
466,H ,Transport and Storage ,2014.0,1 to 9,67328,16822,7775,9016,2539,1092,1295,202,46,71,-25
467,H ,Transport and Storage ,2014.0,10 to 49,7600,20492,8740,11857,3823,1447,1667,221,25,19,6
468,H ,Transport and Storage ,2014.0,50 to 249,1414,21846,9000,12925,4107,1360,1567,208,*,*,*
469,H ,Transport and Storage ,2014.0,250 and over,364,104363,48233,57847,29329,8584,9611,1027,*,*,*
470,H ,Transport and Storage ,2014.0,Total,76706,163523,73749,91645,39798,12483,14141,1658,3587,3049,537
471,H ,Transport and Storage ,2015.0,1 to 9,79188,18281,8828,9537,2513,1425,1739,314,278,207,71
472,H ,Transport and Storage ,2015.0,10 to 49,7598,19950,8384,11617,3790,1537,1823,285,140,115,25
473,H ,Transport and Storage ,2015.0,50 to 249,1479,23002,9754,13454,4802,1315,1539,225,*,*,*
474,H ,Transport and Storage ,2015.0,250 and over,373,105620,52003,55593,30447,7854,9358,1503,*,*,*
475,H ,Transport and Storage ,2015.0,Total,88638,166853,78968,90202,41552,12131,14459,2327,4976,4006,970
476,H ,Transport and Storage ,2016.0,1 to 9,94950,18711,8640,9994,1858,1777,2073,296,60,55,5
477,H ,Transport and Storage ,2016.0,10 to 49,8178,23624,9300,14454,4132,1697,1993,296,136,94,42
478,H ,Transport and Storage ,2016.0,50 to 249,1553,24731,9515,15396,5083,1114,1471,358,*,*,*
479,H ,Transport and Storage ,2016.0,250 and over,384,107014,52025,58243,30260,8298,9814,1517,*,*,*
480,H ,Transport and Storage ,2016.0,Total,105065,174080,79479,98087,41333,12886,15353,2467,6146,4935,1210
481,H ,Transport and Storage ,2017.0,1 to 9,99153,18373,8850,9981,2529,2309,2822,513,321,192,130
482,H ,Transport and Storage ,2017.0,10 to 49,7806,25894,9322,16834,3953,1080,1447,367,408,213,195
483,H ,Transport and Storage ,2017.0,50 to 249,1569,26715,9777,17114,5186,1121,1411,290,*,*,*
484,H ,Transport and Storage ,2017.0,250 and over,401,111565,51879,60043,32701,8857,9754,897,*,*,*
485,H ,Transport and Storage ,2017.0,Total,108929,182548,79828,103971,44369,13368,15434,2067,4570,6101,-1531
486,H ,Transport and Storage ,2018.0,1 to 9,100253,21852,7735,14045,2328,1610,1849,239,236,239,-3
487,H ,Transport and Storage ,2018.0,10 to 49,8045,24536,9903,14746,4327,1126,1410,285,354,290,64
488,H ,Transport and Storage ,2018.0,50 to 249,1596,28431,9708,18863,5242,1341,1602,261,396,346,50
489,H ,Transport and Storage ,2018.0,250 and over,399,120246,57044,64442,34394,10400,11592,1192,1737,3361,-1625
490,H ,Transport and Storage ,2018.0,Total,110293,195064,84390,112096,46292,14476,16453,1977,2722,4236,-1514
491,H ,Transport and Storage ,2019.0,1 to 9,110741,24303,9164,15144,2933,1575,1773,199,184,192,-8
492,H ,Transport and Storage ,2019.0,10 to 49,8006,24510,9713,14791,3991,1322,1597,275,182,170,12
493,H ,Transport and Storage ,2019.0,50 to 249,1612,28813,10788,18111,5358,1502,1718,217,353,366,-13
494,H ,Transport and Storage ,2019.0,250 and over,406,125205,61947,65966,36046,12891,14761,1870,1487,1764,-278
495,H ,Transport and Storage ,2019.0,Total,120765,202831,91611,114012,48329,17290,19850,2560,2206,2492,-287
496,I ,Accommodation and food service,2009.0,1 to 9,105018,16285,5920,10304,3698,845,876,31,389,345,44
497,I ,activities,2009.0,10 to 49,21321,11206,4934,6323,3808,612,699,87,338,349,-11
498,I ,activities,2009.0,50 to 249,2344,8430,4025,4429,2500,499,573,74,151,153,-2
499,I ,activities,2009.0,250 and over,429,30275,14496,15689,9005,1473,1640,168,440,457,-17
500,I ,activities,2009.0,Total,129112,66195,29375,36745,19012,3428,3788,360,1318,1303,15
501,I ,activities,2010.0,1 to 9,103932,15409,6115,9303,3201,795,856,61,400,377,23
502,I ,activities,2010.0,10 to 49,21110,12656,5545,7117,3533,447,530,83,366,344,22
503,I ,activities,2010.0,50 to 249,2382,8412,3852,4539,2835,399,600,201,256,233,23
504,I ,activities,2010.0,250 and over,420,31869,15924,15925,9505,1162,1814,652,460,449,11
505,I ,activities,2010.0,Total,127844,68346,31435,36883,19074,2804,3801,997,1481,1403,79
506,I ,activities,2011.0,1 to 9,105467,15925,6762,9186,3347,463,586,123,392,351,41
507,I ,activities,2011.0,10 to 49,21969,13680,6408,7302,3815,636,698,61,350,323,27
508,I ,activities,2011.0,50 to 249,2469,9784,5068,4762,3199,473,764,291,273,240,33
509,I ,activities,2011.0,250 and over,431,32933,16587,16313,9626,1737,2289,553,469,453,16
510,I ,activities,2011.0,Total,130336,72322,34826,37563,19987,3309,4337,1028,1484,1368,117
511,I ,activities,2012.0,1 to 9,101128,14938,6701,8234,2903,681,741,60,468,486,-18
512,I ,activities,2012.0,10 to 49,24577,14132,7196,6975,4192,703,822,119,386,360,26
513,I ,activities,2012.0,50 to 249,2652,10643,5842,4775,3497,650,679,28,331,344,-13
514,I ,activities,2012.0,250 and over,474,34642,18024,17288,10540,1896,2462,566,531,524,8
515,I ,activities,2012.0,Total,128831,74355,37764,37272,21132,3930,4704,774,1716,1713,3
516,I ,activities,2013.0,1 to 9,100791,14383,6674,7729,2789,522,763,241,367,371,-4
517,I ,activities,2013.0,10 to 49,27345,15441,7408,8040,4575,482,599,117,377,363,14
518,I ,activities,2013.0,50 to 249,2698,11051,6069,4955,3391,949,1036,87,287,299,-12
519,I ,activities,2013.0,250 and over,488,36158,18205,17900,10855,1994,2439,445,512,490,23
520,I ,activities,2013.0,Total,131322,77033,38357,38625,21611,3946,4837,891,1544,1523,21
521,I ,activities,2014.0,1 to 9,97759,14910,7667,7327,2701,1291,1504,213,442,425,16
522,I ,activities,2014.0,10 to 49,30829,16902,8808,8122,4873,1054,1204,150,391,374,17
523,I ,activities,2014.0,50 to 249,2889,11693,6433,5330,3447,847,968,122,203,192,10
524,I ,activities,2014.0,250 and over,502,38431,19935,18654,11722,2436,3211,775,551,503,48
525,I ,activities,2014.0,Total,131979,81937,42842,39433,22743,5629,6888,1259,1585,1494,92
526,I ,activities,2015.0,1 to 9,100644,14449,7357,7209,2815,1162,1310,148,415,351,64
527,I ,activities,2015.0,10 to 49,31487,16897,9108,7804,5272,1372,1508,137,379,347,32
528,I ,activities,2015.0,50 to 249,3054,12207,6773,5469,3797,1205,1306,101,219,204,15
529,I ,activities,2015.0,250 and over,555,41973,21975,19893,12949,3472,3922,450,574,558,16
530,I ,activities,2015.0,Total,135740,85526,45214,40376,24832,7212,8046,835,1587,1460,126
531,I ,activities,2016.0,1 to 9,112619,15988,7669,8343,2904,1342,1501,160,686,631,55
532,I ,activities,2016.0,10 to 49,32710,19210,10030,9232,5285,1358,1443,85,418,399,19
533,I ,activities,2016.0,50 to 249,3139,12955,7226,5742,4330,1281,1358,77,342,316,26
534,I ,activities,2016.0,250 and over,595,44632,23638,20860,13947,3810,4369,559,638,582,57
535,I ,activities,2016.0,Total,149063,92785,48564,44178,26466,7791,8671,880,2084,1927,157
536,I ,activities,2017.0,1 to 9,115093,15881,7739,8309,3366,1146,1272,126,456,377,79
537,I ,activities,2017.0,10 to 49,33878,21114,10562,10531,5966,1416,1506,90,432,421,11
538,I ,activities,2017.0,50 to 249,3255,14100,8052,6082,4543,1220,1315,95,336,313,24
539,I ,activities,2017.0,250 and over,621,47305,24588,22715,14894,3869,4263,394,669,649,19
540,I ,activities,2017.0,Total,152847,98401,50941,47638,28769,7651,8357,706,1892,1760,132
541,I ,activities,2018.0,1 to 9,117986,17871,9081,8943,3119,1908,2047,139,562,384,178
542,I ,activities,2018.0,10 to 49,34187,20778,10699,10154,6242,1553,1705,152,496,461,35
543,I ,activities,2018.0,50 to 249,3366,14278,7910,6429,4611,910,987,77,364,336,28
544,I ,activities,2018.0,250 and over,663,49697,26029,23617,15734,3081,3970,889,674,671,3
545,I ,activities,2018.0,Total,156202,102624,53719,49142,29705,7452,8709,1257,2096,1851,244
546,I ,activities,2019.0,1 to 9,119886,18264,8633,9539,3430,1514,1595,80,336,324,12
547,I ,activities,2019.0,10 to 49,34631,21147,11445,9734,6194,1132,1281,149,412,406,7
548,I ,activities,2019.0,50 to 249,3354,15021,8018,7074,4410,1211,1280,68,341,307,33
549,I ,activities,2019.0,250 and over,689,52751,27426,25277,16897,2531,3406,875,712,701,10
